[DEBUG] [2023-01-31 15:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : e498d1564b8e48eebf2fbd874ec828f6, msgType : 19
[DEBUG] [2023-01-31 15:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 15beb71a80cf42c0b6743f540c80a7b5, msgType : 19
[DEBUG] [2023-01-31 15:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cbbb897b0a324e0bbbaf14d86df619a8, msgType : 19
[DEBUG] [2023-01-31 15:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 50bda868025e44bb81057fc0bac79b33, msgType : 19
[DEBUG] [2023-01-31 15:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a4f33468e2fb4c358512a3d07184a6fc, msgType : 19
[DEBUG] [2023-01-31 15:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 702dd1449358472d8591b5d2866e1b17, msgType : 19
[DEBUG] [2023-01-31 15:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 01acf2ddb1e6413bad445272037e24dd, msgType : 18
[DEBUG] [2023-01-31 15:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4e35a1cc90dd41a5bec92f465ed7fcca, msgType : 18
[DEBUG] [2023-01-31 15:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1cd11ab27a394050850ffa280e42523d, msgType : 19
[DEBUG] [2023-01-31 15:00:07] NioEventLoop.run(505) | Selector.select() returned prematurely 3 times in a row for Selector io.netty.channel.nio.SelectedSelectionKeySetSelector@fca4c3f.
[DEBUG] [2023-01-31 15:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : f19dc44ecddd4e28a7a0216cd4c34a4c, msgType : 19
[DEBUG] [2023-01-31 15:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 5e63efc7722f4812a3590dd89f1446fb, msgType : 19
[DEBUG] [2023-01-31 15:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 70447c99d5244bdd9634e56d011eb13b, msgType : 19
[DEBUG] [2023-01-31 15:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4ca3a7793a6440e69f28b7629c28c0a7, msgType : 19
[DEBUG] [2023-01-31 15:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 8a8876a2caf64f9faf71e5f72ce2a205, msgType : 19
[DEBUG] [2023-01-31 15:00:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cde2418e3d854569bd9b3a5cff4fd642, msgType : 19
[DEBUG] [2023-01-31 15:00:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d81bcdd9c61e4fc282c2e23d2b7c1653, msgType : 19
[DEBUG] [2023-01-31 15:00:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3b224f51ba68487199332450192f6261, msgType : 19
[DEBUG] [2023-01-31 15:00:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : c458222e17664f11b3ceef2e933b8711, msgType : 19
