[DEBUG] [2023-01-31 17:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 548b7d77ac5c4837bbe3d8ab9bf29cae, msgType : 19
[DEBUG] [2023-01-31 17:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bae57d31481948f3821f48c42a31347d, msgType : 19
[DEBUG] [2023-01-31 17:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8f2d675193674c0091221eaec693da13, msgType : 19
[DEBUG] [2023-01-31 17:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 7441df3b4b4f4063a06994933daacf7f, msgType : 19
[DEBUG] [2023-01-31 17:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 87de3f963d7b4016890f953adba4adc7, msgType : 19
[DEBUG] [2023-01-31 17:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 343f5a78414c4b3ca7cd8c3bc38466b4, msgType : 19
[DEBUG] [2023-01-31 17:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 613fe785f08e4d7cac25e4e05b9a312e, msgType : 18
[DEBUG] [2023-01-31 17:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 29f5ed9ebd23498b96abf4bea7b9f4b8, msgType : 18
[DEBUG] [2023-01-31 17:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 90a0ea67ab7142f98742fd3360463e91, msgType : 19
[DEBUG] [2023-01-31 17:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bd1ec7c4638442b1a3e64d974c1220bc, msgType : 19
[DEBUG] [2023-01-31 17:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bce6c5e39ce84d13884e46e65fb362e7, msgType : 19
