[DEBUG] [2023-01-31 21:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 553255aab4694083bc496d0c031b8df6, msgType : 19
[DEBUG] [2023-01-31 21:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9067d2997bcf4f1e8751bc91f7b785d8, msgType : 19
[DEBUG] [2023-01-31 21:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 00645411f0d34ec8af42988a2b2b2600, msgType : 19
[DEBUG] [2023-01-31 21:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8088e6d8c03e46db9d5ad53b75ec8326, msgType : 19
[DEBUG] [2023-01-31 21:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : adbc19782dfe41039a7652301926e747, msgType : 19
[DEBUG] [2023-01-31 21:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 1948859e99404273808af7d42937f45e, msgType : 19
[DEBUG] [2023-01-31 21:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : caefb8eb581f4c71b004e4138a113d40, msgType : 18
[DEBUG] [2023-01-31 21:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4c0f7b37df334ec696d3af197f89622c, msgType : 18
[DEBUG] [2023-01-31 21:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b9999f2f25fc4e0daf8955706328e41a, msgType : 19
[DEBUG] [2023-01-31 21:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6ca8fa5707f74ce8a4ff1d90867ce538, msgType : 19
[DEBUG] [2023-01-31 21:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 9eed12ba0a484930a502d96e94c2a63b, msgType : 19
[DEBUG] [2023-01-31 21:00:09] NioEventLoop.run(505) | Selector.select() returned prematurely 3 times in a row for Selector io.netty.channel.nio.SelectedSelectionKeySetSelector@fca4c3f.
[DEBUG] [2023-01-31 21:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 4de55dce9d68451c8fb58c1e8c8df94e, msgType : 19
[DEBUG] [2023-01-31 21:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : b79a5b1d568a43c2bf248e6758f965a2, msgType : 19
[DEBUG] [2023-01-31 21:00:11] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : d55692e95c3641fc9ae60f1ca69ea669, msgType : 19
[DEBUG] [2023-01-31 21:00:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 178a171f4eae430681520c46ad8218ea, msgType : 19
[DEBUG] [2023-01-31 21:00:13] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 1d5fa320763e4e8fa26542428daf75f0, msgType : 19
[DEBUG] [2023-01-31 21:00:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ef6959cd83d945388cadf3c73ba881ea, msgType : 19
[DEBUG] [2023-01-31 21:00:15] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a10ea3a56791429cb6d78612babcd28c, msgType : 19
[DEBUG] [2023-01-31 21:00:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 569b4e565465458cbe1d73e988551e39, msgType : 19
[DEBUG] [2023-01-31 21:00:17] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6712a099766f4340a956f54a774567a7, msgType : 19
[DEBUG] [2023-01-31 21:00:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 57060081a388442ea2e27da2a9da442f, msgType : 19
[DEBUG] [2023-01-31 21:00:19] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : dcfc1160257e4c5d96e19f5833c45d13, msgType : 19
[DEBUG] [2023-01-31 21:00:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5f6cd4c94804461cacc6349d1064f8d2, msgType : 19
[DEBUG] [2023-01-31 21:00:21] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 16128fbf49d748f5b00b69d73858caa3, msgType : 19
[DEBUG] [2023-01-31 21:00:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5789b65dc6d9436f97efb5822b0663e0, msgType : 19
[DEBUG] [2023-01-31 21:00:23] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : bbbb7a1635c945fdbda984fd99f06f7a, msgType : 19
[DEBUG] [2023-01-31 21:00:25] NioEventLoop.run(505) | Selector.select() returned prematurely 3 times in a row for Selector io.netty.channel.nio.SelectedSelectionKeySetSelector@fca4c3f.
[DEBUG] [2023-01-31 21:00:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : eed0746cffae4e019ec7fb1407d9fff7, msgType : 19
[DEBUG] [2023-01-31 21:00:25] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 62290db344f94af5bc6df9cdf2eaa292, msgType : 19
[DEBUG] [2023-01-31 21:00:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : ffd87de0f1a0402b8f6487b0f2ff3e05, msgType : 19
[DEBUG] [2023-01-31 21:00:27] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : ea0937823ed243bd923684b4f5732d0b, msgType : 19
[DEBUG] [2023-01-31 21:00:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d1f494e56aa543e0b352c82f7b2b6b72, msgType : 19
[DEBUG] [2023-01-31 21:00:29] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : cef94fae24b548ef876981d4bdb757d9, msgType : 19
[DEBUG] [2023-01-31 21:00:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 4255af93a41b48dea75fac438b62f188, msgType : 19
[DEBUG] [2023-01-31 21:00:31] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 33e8ae1ce5144ac89d974111d23b0b43, msgType : 19
[DEBUG] [2023-01-31 21:00:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : e106fd860edd4f70b784c67559cea929, msgType : 19
[DEBUG] [2023-01-31 21:00:33] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 12c4379dffc34f689f130f484af0212e, msgType : 19
[DEBUG] [2023-01-31 21:00:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 5d7740425eca4058b82372015fc06e3e, msgType : 19
[DEBUG] [2023-01-31 21:00:35] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 245b6653701243a1b0147bc7524de6af, msgType : 19
[DEBUG] [2023-01-31 21:00:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 3d1003c4a5784c19a41ee50de4aa8602, msgType : 19
[DEBUG] [2023-01-31 21:00:37] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : bcba99fda8d54525b7d75d24f32738d6, msgType : 19
[DEBUG] [2023-01-31 21:00:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 8dd01c9d220847c7b3aa73a87e11b0b0, msgType : 19
[DEBUG] [2023-01-31 21:00:39] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 51532256fc8d4d2192a22776ae7e3d48, msgType : 19
[DEBUG] [2023-01-31 21:00:41] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : d9874380c8b14308b164eb2b1b18cba8, msgType : 19
