[DEBUG] [2023-02-01 00:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 06dbafee3d0748a4b0c882e7ed295d28, msgType : 19
[DEBUG] [2023-02-01 00:00:01] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 07915703e5b545f5a5591a01a8a275db, msgType : 19
[DEBUG] [2023-02-01 00:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : a0e6ef46421443ec8367156ae958ca62, msgType : 19
[DEBUG] [2023-02-01 00:00:03] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : aeb554efc8e0454f8af1ed8552bba6b5, msgType : 19
[DEBUG] [2023-02-01 00:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 43cd3faba47d4916904a89ff13c876d9, msgType : 19
[DEBUG] [2023-02-01 00:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 9c9fa18a95054aa68aba4769cb22b083, msgType : 19
[DEBUG] [2023-02-01 00:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : 56bb6839e0d34906b8c976fbe8cd668f, msgType : 18
[DEBUG] [2023-02-01 00:00:05] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : b26ca222bee94e68a56a8cc67d300e91, msgType : 18
[DEBUG] [2023-02-01 00:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20200, seq : a14c068fc2a644d4a7fb2e5e6b8bf875, msgType : 19
[DEBUG] [2023-02-01 00:00:07] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : 6e9909596f624ac6ada19b96566cca18, msgType : 19
[DEBUG] [2023-02-01 00:00:09] ChannelMsgHandler.onMessage(123) | onMessage in ChannelMsgHandler called, host : 127.0.0.1:20201, seq : f96cfdc257274c3e822ced8a06ecf3a3, msgType : 19
